date,away_team,away_pts,home_team,home_pts,ot,attendees,arena,link
2021-10-19 07:30:00,Brooklyn Nets,104,Milwaukee Bucks,127,0,17341,Fiserv Forum,/boxscores/202110190MIL.html
2021-10-19 10:00:00,Golden State Warriors,121,Los Angeles Lakers,114,0,18997,Crypto.com Arena,/boxscores/202110190LAL.html
2021-10-20 07:00:00,Indiana Pacers,122,Charlotte Hornets,123,0,15521,Spectrum Center,/boxscores/202110200CHO.html
2021-10-20 07:00:00,Chicago Bulls,94,Detroit Pistons,88,0,20088,Little Caesars Arena,/boxscores/202110200DET.html
2021-10-20 07:30:00,Boston Celtics,134,New York Knicks,138,2,19812,Madison Square Garden (IV),/boxscores/202110200NYK.html
2021-10-20 07:30:00,Washington Wizards,98,Toronto Raptors,83,0,19800,Scotiabank Arena,/boxscores/202110200TOR.html
2021-10-20 08:00:00,Cleveland Cavaliers,121,Memphis Grizzlies,132,0,15975,FedEx Forum,/boxscores/202110200MEM.html
2021-10-20 08:00:00,Houston Rockets,106,Minnesota Timberwolves,124,0,16079,Target Center,/boxscores/202110200MIN.html
2021-10-20 08:00:00,Philadelphia 76ers,117,New Orleans Pelicans,97,0,12845,Smoothie King Center,/boxscores/202110200NOP.html
2021-10-20 08:30:00,Orlando Magic,97,San Antonio Spurs,123,0,16697,AT&T Center,/boxscores/202110200SAS.html
2021-10-20 09:00:00,Oklahoma City Thunder,86,Utah Jazz,107,0,18306,Vivint Smart Home Arena,/boxscores/202110200UTA.html
2021-10-20 10:00:00,Sacramento Kings,124,Portland Trail Blazers,121,0,17467,Moda Center,/boxscores/202110200POR.html
2021-10-20 10:00:00,Denver Nuggets,110,Phoenix Suns,98,0,16074,Phoenix Suns Arena,/boxscores/202110200PHO.html
2021-10-21 07:30:00,Dallas Mavericks,87,Atlanta Hawks,113,0,17162,State Farm Arena,/boxscores/202110210ATL.html
2021-10-21 08:00:00,Milwaukee Bucks,95,Miami Heat,137,0,19600,FTX Arena,/boxscores/202110210MIA.html
2021-10-21 10:00:00,Los Angeles Clippers,113,Golden State Warriors,115,0,18064,Chase Center,/boxscores/202110210GSW.html
